sequence	Cluster
lcl|NC_072373.2_cds_XP_054337578.1_86	1
lcl|NC_072373.2_cds_XP_054337798.2_121	2
lcl|NC_072373.2_cds_XP_054302984.1_154	2
lcl|NC_072373.2_cds_XP_054334781.1_173	2
lcl|NC_072373.2_cds_XP_054356914.1_208	3
lcl|NC_072373.2_cds_XP_054334848.1_231	3
lcl|NC_072373.2_cds_XP_054334881.1_239	1
lcl|NC_072373.2_cds_XP_063526783.1_260	2
lcl|NC_072373.2_cds_XP_054303956.1_273	2
lcl|NC_072373.2_cds_XP_054326515.1_277	1
lcl|NC_072373.2_cds_XP_054326848.1_282	2
lcl|NC_072373.2_cds_XP_054332511.1_285	2
lcl|NC_072373.2_cds_XP_054357852.1_306	2
lcl|NC_072373.2_cds_XP_054304913.1_307	2
lcl|NC_072373.2_cds_XP_063526962.1_324	3
lcl|NC_072373.2_cds_XP_054338564.1_339	2
lcl|NC_072373.2_cds_XP_054298033.1_349	2
lcl|NC_072373.2_cds_XP_063527117.1_351	1
lcl|NC_072373.2_cds_XP_054310809.1_358	2
lcl|NC_072373.2_cds_XP_054339147.1_360	1
lcl|NC_072373.2_cds_XP_054301938.1_374	1
lcl|NC_072373.2_cds_XP_054342709.1_398	2
lcl|NC_072373.2_cds_XP_054303981.1_416	1
lcl|NC_072373.2_cds_XP_054301233.1_428	3
lcl|NC_072373.2_cds_XP_063527716.1_455	3
lcl|NC_072373.2_cds_XP_054323662.1_533	2
lcl|NC_072373.2_cds_XP_054323864.1_556	1
lcl|NC_072373.2_cds_XP_054340907.1_562	3
lcl|NC_072373.2_cds_XP_063527724.1_602	1
lcl|NC_072373.2_cds_XP_054330343.1_622	1
lcl|NC_072373.2_cds_XP_054348548.1_634	3
lcl|NC_072373.2_cds_XP_054307677.1_641	3
lcl|NC_072373.2_cds_XP_054307799.1_653	1
lcl|NC_072373.2_cds_XP_063527844.1_657	1
lcl|NC_072373.2_cds_XP_054323948.1_677	2
lcl|NC_072373.2_cds_XP_054305938.1_708	2
lcl|NC_072373.2_cds_XP_054334713.1_718	3
lcl|NC_072373.2_cds_XP_054340278.1_756	1
lcl|NC_072373.2_cds_XP_054308020.1_767	2
lcl|NC_072373.2_cds_XP_054308208.1_771	1
lcl|NC_072373.2_cds_XP_054335213.1_783	1
lcl|NC_072373.2_cds_XP_054313488.1_833	3
lcl|NC_072373.2_cds_XP_054336201.1_862	3
lcl|NC_072373.2_cds_XP_063528522.1_886	2
lcl|NC_072373.2_cds_XP_054330756.1_903	3
lcl|NC_072373.2_cds_XP_054305396.1_909	3
lcl|NC_072373.2_cds_XP_054341865.1_925	1
lcl|NC_072373.2_cds_XP_054336704.1_1008	1
lcl|NC_072373.2_cds_XP_054308447.1_1029	1
lcl|NC_072373.2_cds_XP_054322711.1_1092	3
lcl|NC_072373.2_cds_XP_054322793.1_1102	1
lcl|NC_072373.2_cds_XP_054322815.1_1113	1
lcl|NC_072373.2_cds_XP_054302389.1_1128	3
lcl|NC_072373.2_cds_XP_054335100.1_1130	1
lcl|NC_072373.2_cds_XP_054333473.1_1160	3
lcl|NC_072373.2_cds_XP_063503022.1_1169	3
lcl|NC_072373.2_cds_XP_054313264.1_1197	3
lcl|NC_072373.2_cds_XP_054317923.1_1219	3
lcl|NC_072373.2_cds_XP_063503224.1_1229	3
lcl|NC_072373.2_cds_XP_054318068.1_1241	1
lcl|NC_072373.2_cds_XP_054318018.1_1262	3
lcl|NC_072373.2_cds_XP_054317856.1_1276	1
lcl|NC_072373.2_cds_XP_054318738.1_1314	1
lcl|NC_072373.2_cds_XP_054318766.1_1317	3
lcl|NC_072373.2_cds_XP_054318929.1_1338	2
lcl|NC_072373.2_cds_XP_054305695.1_1345	2
lcl|NC_072373.2_cds_XP_063503528.1_1354	2
lcl|NC_072373.2_cds_XP_054335463.1_1367	1
lcl|NC_072373.2_cds_XP_054308076.1_1389	1
lcl|NC_072373.2_cds_XP_054308100.1_1390	3
lcl|NC_072373.2_cds_XP_054308115.1_1391	2
lcl|NC_072373.2_cds_XP_054308224.1_1403	2
lcl|NC_072373.2_cds_XP_063503734.1_1407	1
lcl|NC_072373.2_cds_XP_054306827.1_1461	3
lcl|NC_072373.2_cds_XP_054306859.1_1466	1
lcl|NC_072373.2_cds_XP_054305352.1_1470	1
lcl|NC_072373.2_cds_XP_063504049.1_1477	2
lcl|NC_072373.2_cds_XP_054291823.1_1509	3
lcl|NC_072373.2_cds_XP_054331133.1_1510	2
lcl|NC_072373.2_cds_XP_063504297.1_1540	1
lcl|NC_072373.2_cds_XP_054299445.1_1547	3
lcl|NC_072373.2_cds_XP_054311423.1_1549	3
lcl|NC_072373.2_cds_XP_054311450.1_1552	3
lcl|NC_072373.2_cds_XP_054340611.1_1576	1
lcl|NC_072373.2_cds_XP_063504417.1_1583	3
lcl|NC_072373.2_cds_XP_054312689.1_1603	1
lcl|NC_072373.2_cds_XP_054309898.1_1628	3
lcl|NC_072373.2_cds_XP_054312002.1_1650	3
lcl|NC_072373.2_cds_XP_054312904.1_1657	1
lcl|NC_072373.2_cds_XP_054313898.2_1666	3
lcl|NC_072373.2_cds_XP_054317093.1_1701	1
lcl|NC_072373.2_cds_XP_063504495.1_1703	3
lcl|NC_072373.2_cds_XP_054304027.1_1706	1
lcl|NC_072373.2_cds_XP_054311340.1_1707	3
lcl|NC_072373.2_cds_XP_054303851.1_1713	1
lcl|NC_072373.2_cds_XP_054350486.1_1721	3
lcl|NC_072373.2_cds_XP_054305585.1_1727	3
lcl|NC_072373.2_cds_XP_063504544.1_1749	3
lcl|NC_072373.2_cds_XP_054321750.1_1783	2
lcl|NC_072373.2_cds_XP_054312014.1_1793	3
lcl|NC_072373.2_cds_XP_054312133.1_1805	1
lcl|NC_072373.2_cds_XP_054337820.1_1836	3
lcl|NC_072373.2_cds_XP_054357656.1_1860	1
lcl|NC_072373.2_cds_XP_054351339.1_1879	3
lcl|NC_072373.2_cds_XP_054351455.1_1889	1
lcl|NC_072373.2_cds_XP_054351448.1_1891	1
lcl|NC_072373.2_cds_XP_054298488.1_1949	2
lcl|NC_072373.2_cds_XP_054298618.1_1960	1
lcl|NC_072373.2_cds_XP_054308649.1_1975	1
lcl|NC_072373.2_cds_XP_054359303.1_2022	3
lcl|NC_072373.2_cds_XP_054359880.1_2100	3
lcl|NC_072373.2_cds_XP_054291455.1_2140	3
lcl|NC_072373.2_cds_XP_054307030.1_2189	3
lcl|NC_072373.2_cds_XP_054305187.1_2213	3
lcl|NC_072373.2_cds_XP_054294106.1_2214	3
lcl|NC_072373.2_cds_XP_054317597.1_2221	3
lcl|NC_072373.2_cds_XP_054353306.1_2274	3
lcl|NC_072373.2_cds_XP_054336661.1_2318	1
lcl|NC_072373.2_cds_XP_054340012.1_2332	3
lcl|NC_072373.2_cds_XP_054306331.1_2353	3
lcl|NC_072373.2_cds_XP_054291618.1_2359	3
lcl|NC_072373.2_cds_XP_054291584.1_2367	3
lcl|NC_072373.2_cds_XP_054304200.1_2395	1
lcl|NC_072373.2_cds_XP_054309685.1_2396	3
lcl|NC_072373.2_cds_XP_054306443.1_2404	3
lcl|NC_072373.2_cds_XP_054335626.1_2437	3
lcl|NC_072373.2_cds_XP_054314132.1_2476	3
lcl|NC_072373.2_cds_XP_054314379.1_2513	3
lcl|NC_072373.2_cds_XP_063511469.1_2567	3
lcl|NC_072373.2_cds_XP_063513577.1_2578	2
lcl|NC_072373.2_cds_XP_063506566.1_2613	3
lcl|NC_072373.2_cds_XP_054315705.1_2679	3
lcl|NC_072373.2_cds_XP_054316283.2_2749	1
lcl|NC_072373.2_cds_XP_054316484.1_2775	3
lcl|NC_072373.2_cds_XP_054316540.1_2826	3
lcl|NC_072373.2_cds_XP_054317072.1_2851	3
lcl|NC_072373.2_cds_XP_054317482.1_2872	3
lcl|NC_072373.2_cds_XP_054297863.1_2888	3
lcl|NC_072373.2_cds_XP_054298466.1_2890	2
lcl|NC_072373.2_cds_XP_063517120.1_2989	1
lcl|NC_072373.2_cds_XP_054335399.1_2990	1
lcl|NC_072373.2_cds_XP_054335400.1_2991	3
lcl|NC_072373.2_cds_XP_054335402.1_2993	2
lcl|NC_072373.2_cds_XP_054335403.1_2994	1
lcl|NC_072373.2_cds_XP_054329969.1_3043	3
lcl|NC_072373.2_cds_XP_063519492.1_3047	3
lcl|NC_072373.2_cds_XP_054330074.1_3071	3
lcl|NC_072373.2_cds_XP_063507137.1_3109	3
