sequence	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60
lcl|NC_072398.2_cds_XP_024208856.2_100	-0.9774285865287632	-1.7136945518520041	-2.593363291559367	-1.2670173130045608	2.1341096949200486	0.6058496369252986	-1.1014928763018204	-1.6255162695899852	-1.0279550020264672	1.6750256477426118	-0.7831532483490734	0.5896529790451654	-0.2605026127273579	1.457337176421333	0.07651858567259168	-0.7588957900107871	0.25736815654315526	-0.5141226442529804	0.8206019344045662	1.7542504331579132	0.4033414219036751	1.6250373822742292	2.0434590245682873	2.0468232286003754	0.6515659558649741	0.9141158594123102	-0.8957303711350015	-0.10098219503964773	1.9001649924182265	0.677166855429213	-0.09224819697279313	0.7117578100069106	0.3468412489321354	0.6881747131088861	-0.24191451739042721	0.1088149181603339	-0.23098888606116846	0.3398924567643268	-0.1151015835412932	-0.28861883312900555	0.7901944413108385	-0.7961229450134908	0.013465983536069441	-2.4702462297909733e-15	1.4641066137244252e-15	2.8449465006019636e-15	6.036837696399289e-16	-1.304512053934559e-15	2.942091015256665e-15	-2.192690473634684e-15	-1.5482407023093003e-16	-5.551115123125783e-16	-2.4494295480792516e-15	-5.204170427930421e-16	-5.30825383648903e-16	1.5334955527634975e-15	2.4043267377038546e-15	-1.0859368959614812e-15	4.926614671774132e-16	-1.7208456881689926e-15
lcl|NC_072398.2_cds_XP_024208776.2_127	-1.2465292194964912	1.0562755087624294	0.4114927487385822	-0.1296960948007505	0.01615371214848553	-0.3444051129664421	0.8664317792756088	-0.3018707268481807	-1.251167674694858	1.2076105682593172	0.18266602257869627	0.8643265831647802	0.18583568614370236	-0.30014592484869385	1.4670299775158795	0.5907560292327647	-0.29880613117254246	0.9118835697501444	-0.09380346663111769	0.2760142682786577	0.5644499883691033	-0.8577198509697956	-0.06484060869522491	1.3950610857185213	-0.5878864963658956	1.1357452448762089	0.671251820790001	0.39780454802896953	0.13537134529229558	0.09495241799304462	1.3072386795194972	0.617368079775281	0.5123651534214954	0.6369297754707868	-0.9019669397676786	-0.44026849360086595	-1.0818825954278701	-0.7578208330874826	-0.330616425599382	-0.8771376131998435	-1.1226842482493806	1.0704733400597668	0.0012628174215214873	1.366962099069724e-15	-1.717376241217039e-16	-2.230854390106174e-15	-2.0469737016526324e-16	-5.898059818321144e-17	1.3183898417423734e-15	-1.1310397063368782e-15	-7.791076811480835e-16	-1.7208456881689926e-15	9.194034422677078e-16	-1.5785983631388945e-16	-1.7277845820728999e-15	-1.8388068845354155e-16	-7.884318198314588e-16	-7.955875541698632e-16	6.38378239159465e-16	-6.331740687315346e-16
lcl|NC_072398.2_cds_XP_063665404.1_139	-1.334408929082684	-16.62223805224998	4.100048300281864	-3.3774748834546395	-2.7192813723229254	0.9684309762180234	-3.4902383027681494	1.0150922763282912	6.129959481620347	11.071122280006623	-2.084801773080811	8.369121870276105	-1.4301603051264875	-3.2875587114300906	-6.252139326195009	-4.17998586903467	1.4069656184215527	7.232398331885241	6.491248580880303	-4.366539103025272	-1.353798403621632	-0.2244770715708707	2.6902109435034225	1.269379561492395	-3.180864553990126	-1.594040395277611	0.2564102301130181	-2.7054817809487193	0.8811615670882689	-2.256940689955353	1.7448465235896626	3.6312158237178975	-1.6873239810187495	-4.944987112117198	-3.1230665540247733	-2.3029667015544146	0.07820789805020983	1.6558209511973625	-2.9203289524918445	-1.2382304571781457	3.248137405770695	-1.4881420589788046	-0.057210023781477014	-1.0047518372857667e-14	1.3739009929736312e-15	-9.173217740965356e-15	1.51684220739412e-14	-1.1102230246251565e-16	3.219646771412954e-15	7.771561172376096e-16	5.61790197695089e-15	-4.6629367034256575e-15	2.4841240175987878e-15	5.9674487573602164e-15	4.315992008230296e-15	8.493206138382448e-15	-1.7357643100623932e-14	-3.308117668687771e-15	5.488665077990618e-15	2.1788126858268697e-15
lcl|NC_072398.2_cds_XP_514315.4_167	-2.8855587520707844	-0.06487558669422344	-1.492830325095157	-1.3108492977817554	-1.2701592107141366	0.6494271229151868	0.2428659717845984	-1.4393289355208343	1.72578981993497	0.5012653861346054	1.0284449895851644	0.6751382551940948	0.3013968938017577	0.3539314837655618	1.5078560596378936	-0.31090563083771433	0.11065209852118044	-1.30203376060053	-1.2040104985257924	0.2819067122312956	0.16315938965175758	-0.5469810697168411	-0.8162690948516677	-0.46504519183829646	-0.13104000849159275	0.2161939057823758	-0.9924254163096689	0.5374316543229417	0.6245158297395782	0.7546186443248806	0.8943703315083066	-0.03960344947129851	-0.23076208782862498	0.19328065224211044	-0.08321045714345676	-0.748810482718581	0.2265257189717319	-0.43993516328620386	-0.4376235254526247	-0.2951645449587108	-0.34851291026805786	0.8850046738167253	0.0027686167745626755	-5.23192600354605e-15	6.938893903907228e-16	-3.84674930797857e-15	1.3981871216373065e-15	-2.0573820425084932e-15	-1.3183898417423734e-16	-1.8596235662471372e-15	1.4204132661732594e-15	-3.885780586188048e-16	1.6080886622305002e-15	-1.3739009929736312e-15	-1.8474805019152996e-16	-7.147060721024445e-16	8.478460988836645e-16	5.982627587775013e-16	-5.499073418846478e-16	3.0184188481996443e-16
lcl|NC_072398.2_cds_XP_063665485.1_190	-0.3339863871310911	-0.48221413878637365	1.3386402709323724	2.6777944788833725	2.2810489255814956	-0.40018495130309206	1.911439454426069	0.49103605617470714	0.05917653603016752	0.03860444364822703	-0.6132655131265962	0.36510894932632887	0.6918161140250085	2.2031397488959428	0.001774434322393048	-0.4805759310924306	-2.122814307643188	-0.6968649714180278	-1.0298967003288952	-0.0782627653637804	1.1709936401045369	-0.6435347571750797	-0.4835056300412028	-0.003920545377768675	1.1430274679870125	0.20192610670135003	-0.5287831337450619	-0.704871569577936	-1.834546817355706	-1.7066008862164876	-1.7488172783973135	-2.110687397160977	-0.35086895542719093	0.07324161831862516	-0.10355014769830109	-0.9717577542220249	0.5200459668542575	0.20263134115357745	-0.4306107823437349	0.1358168470382517	-0.36733577676753665	0.513023814326557	0.007609605053162197	9.992007221626409e-16	1.6583956430338276e-15	1.6930901125533637e-15	-7.008282842946301e-16	1.3877787807814457e-17	-1.0269562977782698e-15	-1.1657341758564144e-15	-3.0787004889898384e-15	-2.3314683517128287e-15	-1.4710455076283324e-15	1.339206523454095e-15	-1.1900203045200897e-15	5.689893001203927e-16	2.114627917215728e-15	1.7789589246142157e-15	-9.402201239794294e-16	-1.033895191682177e-15
lcl|NC_072398.2_cds_XP_063665566.1_251	0.3984764394799318	-0.5947933481094818	1.931809112593096	-1.1461705132402902	1.0638980255726609	0.7921593351769465	0.19804306316823414	2.383153899296886	0.7282053480998258	-0.732933570164712	-0.6981271235395381	-0.3930220172417309	0.19249643009946488	0.46409482468178026	2.0360663624781647	1.1612002817191722	0.05517710287942786	0.5515293910176525	-0.08368838106902073	1.403455067153241	-0.585348331588674	-0.5905725728903972	0.596358128343233	-1.3849811264249845	-1.0412588372491172	0.5365246102091191	-0.3483328684765767	-1.17543688081688	-0.4258050359068019	-1.0571900864189596	-1.019093134082823	0.5743804591270079	-0.36321217949758333	1.3928379423249455	-0.7825997493725924	0.6498118016485267	-0.6697007594099473	0.38561343570646095	-0.4786080984844827	0.6658415752510587	-0.45374353252595145	0.6020037460644022	-8.393825234821691e-4	4.427014310692812e-15	1.5543122344752192e-15	-2.850150671029894e-15	2.652392194768538e-15	-2.525757381022231e-15	-1.2490009027033011e-15	-4.996003610813204e-16	-1.5945361350744314e-15	3.3306690738754696e-16	2.7755575615628914e-17	4.0072112295064244e-16	-3.866698627952303e-15	1.5716594692349872e-15	1.9550333574258616e-15	-1.0308594255992176e-15	1.1136924715771102e-15	-4.996003610813204e-16
lcl|NC_072398.2_cds_XP_001160941.1_301	1.200546982517783	0.49223753848637336	0.17703456400725942	-1.6792129098198811	2.3928471107119926	1.7864994519173063	1.5059726589394704	-1.8175189668684824	-0.12173917374940302	0.39022370179788135	-0.7931744026821399	0.5688214662253566	-0.9757033718695121	-0.5535405159061593	0.1743237226153212	-0.1577074485159201	-0.6254040473864371	3.0725495403923566	1.8577875099631465	-1.4564166689576057	-2.284566491787716	-0.9033814742556041	2.566556134496643	-1.4267309864719802	0.16144092977949046	-0.023048051828605615	-0.624526747004037	-1.067689197444642	1.446418256857865	1.9662903883029375	-2.735250153027075	0.3512061300919562	0.24132735944403533	-0.0734399511672279	-0.8826369442328585	-0.16864277869421412	1.010037635355469	1.9605813000648777	-0.9321175687651134	1.015823122508759	-0.05994535640600993	-0.5879174054405343	0.030525354930130054	2.0261570199409107e-15	1.1102230246251565e-16	2.921274333544943e-15	-2.1510571102112408e-15	-1.8041124150158794e-15	-1.942890293094024e-15	-6.106226635438361e-16	-1.418570122480034e-15	2.3314683517128287e-15	1.3877787807814457e-17	2.2343238370581275e-15	-2.3592239273284576e-15	-3.608224830031759e-16	6.800116025829084e-16	7.520026268359459e-16	-8.500145032286355e-16	-2.4841240175987878e-15
lcl|NC_072398.2_cds_XP_009440026.2_309	-0.5671168128509282	-1.3704279031147761	-1.8622744165887237	0.9282029915155553	-1.0571242367344973	1.5883282552224378	0.607356406369301	-0.6581957552873138	-1.6613702607750827	0.9128458919776447	-1.3296812124390038	1.6059114194458723	-0.5075806318185027	0.41386044767599955	0.644102398549349	1.1158988829434486	-0.5682886912158914	0.1471840818213513	0.7315619324513049	0.5381615084977901	-2.162180177001991	-0.9706413364912628	0.4795900857484122	1.8531775198377434	-1.7300870670823967	0.5779282873177445	0.8431489209135877	-1.379277186025229	0.6662630469077778	-0.45619167830145463	1.0821972271442044	-0.09054870160637024	0.996352321097119	0.20141596282448437	0.5060486217356928	-0.6364965787169578	-0.764604362809212	-0.3516313610783315	0.03213534161813752	-0.1496477235389023	-0.4977479761979292	0.3021893133078281	-0.01564829705296938	1.2156074757907476e-15	2.386112141206098e-15	-5.610854662829734e-15	-1.1481701006621492e-15	1.0061396160665481e-15	8.309325449928906e-16	3.0357660829594124e-16	4.503884244722034e-15	-3.870168074904257e-15	-2.8225035156315137e-15	-2.5352983601401036e-15	8.928404890418129e-16	-5.384147988563015e-16	-1.6445720653346374e-15	-9.56279868659371e-16	1.5583237825134155e-15	-1.4168353990040572e-15
lcl|NC_072398.2_cds_XP_054516773.1_339	-2.4459668056258015	2.8296610596082403	-1.4742420979907693	-2.9549252970651607	1.9108784540542503	2.5042876517781485	-0.7640999887557361	0.7375248303262735	-2.4898666390064284	-0.19181997160403225	-0.7956314656648402	-0.740994065995491	-0.9481311134361547	-1.0086281975417377	-0.4492514706360559	0.27488633912958305	-2.033722555855464	0.7189907439431423	0.9257955525701976	-0.6832705621227061	-0.578819330827755	0.257728058052503	-0.7764610444458949	-1.6766419236378436	-1.4361493222625228	-1.1829782204233195	-0.7264902235408145	1.4204170633236157	-2.2457517318782223	1.4548456224717472	0.7259910412016697	1.4859102542176235	1.7266602080827425	-0.912094561028126	1.6059429088732766	0.17740868822458963	0.5350383972859851	1.0642131013195615	0.2653944404597336	-1.0618365089965276	-1.4896979391436325	-2.43846626939986	0.01975079075625129	3.635980405647388e-15	-9.506284648352903e-16	7.0186911838021615e-15	6.279698983036042e-16	6.938893903907228e-17	-4.3298697960381105e-15	7.993605777301127e-15	2.7692691889624754e-15	-9.43689570931383e-16	7.979727989493313e-16	-2.5326962749261384e-16	3.816391647148976e-15	-2.949029909160572e-15	2.9021923753091983e-15	-3.279928412203148e-15	-4.909267437014364e-16	1.8735013540549517e-16
lcl|NC_072398.2_cds_XP_063646337.1_368	-0.5866775272742931	0.22112297667621733	-0.19883195260826958	0.3506379424074368	-1.474906077701525	0.4915721037665368	0.9105723526256236	0.1839229425052556	-0.3867500348504677	0.42710187274988193	-1.159267491710409	1.1452369348270668	-0.2041464680528775	0.4560780441450968	0.09850696238782888	0.7532552359367138	0.40825740541127403	0.7168321700162666	-0.14061328986744093	-0.23256530120067198	0.6902731522654719	0.23479129915650532	-0.29303083833355204	0.19550307348744786	-0.41088684546090387	0.3405058263271013	0.4420588527425522	-7.167706394531348e-4	-0.6223758651170507	-0.20543293116536054	-0.17436637691096196	-0.5068458123518929	-0.2116283627987659	0.2783306303841311	-0.5248899949158982	-1.2137474055301845	0.34027618323305836	0.122303597755673	0.46478116482436327	-0.44185357132016084	0.42278517746142324	-0.40070726448429517	-0.008110820017165335	2.8935187579293142e-15	-1.0061396160665481e-16	-7.008282842946301e-16	1.0408340855860843e-15	-2.393918396847994e-16	1.0408340855860843e-15	-4.0245584642661925e-16	-1.1869845384371303e-15	-1.3877787807814457e-15	1.3877787807814457e-17	-5.082739784612045e-16	-2.3418766925686896e-16	-6.730727086790012e-16	-1.6124254709204422e-15	5.097918615026842e-16	6.38378239159465e-16	-7.9450335199737765e-16
