chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_072423.2	108163674	108164169	-2	1	-	NC_072423.2	108163676	108164148	ITIH3	XM_055274183.2	-	2	2	21	2	12	13	6	5	5	middle	middle	0.833	0.833	alternative	alternative	185	139	4
NC_072423.2	108163674	108164169	-2	1	-	NC_072423.2	108163786	108164148	ITIH3	XM_055274197.2	-	2	2	21	112	12	13	6	5	1	middle	middle	0.833	0.167	alternative	unique	185	29	1
NC_072423.2	108163674	108164169	-2	1	-	NC_072423.2	108163676	108163815	ITIH3	XM_063645918.1	-	2	1	354	2	12	12	6	5	5	middle	middle	0.833	0.833	alternative	alternative	139	139	1
NC_072423.2	110569549	110570203	2	1	+	NC_072423.2	110569864	110570032	NPRL2	XM_055276175.2	+	2	1	315	171	3	3	3	1	1	middle	middle	0.333	0.333	unique	unique	168	168	1
NC_072423.2	110569549	110570203	2	1	+	NC_072423.2	110569637	110570032	NPRL2	XM_055276194.2	+	2	2	88	171	1	2	3	1	2	first	middle	0.333	0.667	unique	alternative	147	163	1
NC_072423.2	110569549	110570203	2	1	+	NC_072423.2	110569675	110570032	NPRL2	XM_063636413.1	+	2	2	126	171	2	3	3	1	2	middle	middle	0.333	0.667	unique	alternative	109	163	1
NC_072423.2	110624154	110624562	1	1	+	NC_072423.2	110624216	110624530	IFRD2	XM_055276123.2	+	1	2	62	32	3	4	4	1	1	middle	middle	0.250	0.250	unique	unique	58	201	1
NC_072423.2	110624154	110624562	1	1	+	NC_072423.2	110624290	110624530	IFRD2	XM_055276140.2	+	1	1	136	32	1	1	4	3	3	first	first	0.750	0.750	alternative	alternative	240	240	3
NC_072423.2	111247657	111248068	2	1	+	NC_072423.2	111247803	111247939	MST1	XM_055276866.2	+	2	1	146	129	11	11	7	3	3	middle	middle	0.429	0.429	alternative	alternative	136	136	3
NC_072423.2	111247657	111248068	2	1	+	NC_072423.2	111248031	111248066	MST1	XM_055276875.2	+	2	1	374	2	12	12	7	4	4	middle	middle	0.571	0.571	alternative	alternative	35	35	4
